Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 129.322875976562500000, 55.277160644531250000, 0.000000000000000000, 21.192810058593750000, 8649, 29.2, 1784
C, sorters, -1, 124.674560546875000000, 53.063903808593750000, 0.000000000000000000, 20.335327148437500000, 8340, 30.0, 1836
C, sorters, -1, 125.748474121093750000, 53.537414550781250000, 0.000000000000000000, 20.527587890625000000, 8413, 30.2, 1760
C, sorters, -1, 124.964660644531250000, 53.176574707031250000, 0.000000000000000000, 20.379211425781250000, 8358, 30.5, 1904
C, sorters, -1, 125.723144531250000000, 53.191589355468750000, 0.000000000000000000, 20.518798828125000000, 8410, 30.8, 1912
C, sorters, -1, 128.718688964843750000, 54.236206054687500000, 0.000793457031250000, 20.996887207031250000, 8610, 29.8, 1912
C, sorters, -1, 126.126586914062500000, 53.501037597656250000, 0.000000000000000000, 20.593811035156250000, 8438, 30.5, 1788
C, sorters, -1, 126.160949707031250000, 53.422668457031250000, 0.000000000000000000, 20.593566894531250000, 8439, 31.2, 1796
C, sorters, -1, 127.222229003906250000, 53.843811035156250000, 0.000000000000000000, 20.770996093750000000, 8510, 31.0, 1800
C, sorters, -1, 126.686889648437500000, 53.526672363281250000, 0.000000000000000000, 20.672973632812500000, 8474, 30.5, 1772
