Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 0.665649414062500000, 0.388916015625000000, 0.000000000000000000, 0.078735351562500000, 32, 34.0, 1928
C, sorters, -1, 0.654968261718750000, 0.373596191406250000, 0.000000000000000000, 0.080993652343750000, 32, 34.0, 1904
C, sorters, -1, 0.651611328125000000, 0.370178222656250000, 0.000000000000000000, 0.081359863281250000, 33, 34.0, 1900
C, sorters, -1, 0.635192871093750000, 0.362121582031250000, 0.000000000000000000, 0.078491210937500000, 32, 34.0, 1892
C, sorters, -1, 0.654785156250000000, 0.370666503906250000, 0.000000000000000000, 0.080993652343750000, 33, 34.0, 1884
C, sorters, -1, 0.636230468750000000, 0.364135742187500000, 0.000000000000000000, 0.078857421875000000, 32, 34.0, 2008
C, sorters, -1, 0.656677246093750000, 0.375244140625000000, 0.000000000000000000, 0.081115722656250000, 32, 34.0, 1888
C, sorters, -1, 0.657531738281250000, 0.373596191406250000, 0.000000000000000000, 0.081115722656250000, 33, 34.0, 2000
C, sorters, -1, 0.656372070312500000, 0.374572753906250000, 0.000000000000000000, 0.081054687500000000, 32, 34.0, 1884
C, sorters, -1, 0.657653808593750000, 0.375488281250000000, 0.000000000000000000, 0.081359863281250000, 32, 34.0, 1868
