Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 1.237792968750000000, 0.553649902343750000, 0.000000000000000000, 0.198425292968750000, 81, 26.0, 1672
C, sorters, -1, 1.284729003906250000, 0.565368652343750000, 0.000000000000000000, 0.211486816406250000, 85, 26.0, 1664
C, sorters, -1, 1.247741699218750000, 0.544189453125000000, 0.000000000000000000, 0.205993652343750000, 84, 26.0, 1944
C, sorters, -1, 1.251098632812500000, 0.546203613281250000, 0.000000000000000000, 0.203186035156250000, 83, 26.0, 1708
C, sorters, -1, 1.239318847656250000, 0.540893554687500000, 0.000000000000000000, 0.203369140625000000, 83, 26.0, 1692
C, sorters, -1, 1.235717773437500000, 0.537780761718750000, 0.000000000000000000, 0.203063964843750000, 83, 26.0, 1936
C, sorters, -1, 1.255371093750000000, 0.547485351562500000, 0.000000000000000000, 0.205810546875000000, 83, 26.0, 1672
C, sorters, -1, 1.249572753906250000, 0.544494628906250000, 0.000000000000000000, 0.205688476562500000, 83, 26.0, 1688
C, sorters, -1, 1.251770019531250000, 0.544372558593750000, 0.000000000000000000, 0.205688476562500000, 84, 26.0, 1804
C, sorters, -1, 1.249267578125000000, 0.545471191406250000, 0.000000000000000000, 0.205749511718750000, 83, 26.0, 1672
