Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 332.751525878906250000, 140.102783203125000000, 0.000732421875000000, 54.309265136718750000, 22257, 30.2, 1752
C, sorters, -1, 334.029785156250000000, 140.430603027343750000, 0.000000000000000000, 54.565002441406250000, 22344, 30.5, 1704
C, sorters, -1, 331.532775878906250000, 139.570861816406250000, 0.000793457031250000, 54.120666503906250000, 22177, 31.8, 1672
C, sorters, -1, 335.866699218750000000, 141.326171875000000000, 0.000793457031250000, 54.908203125000000000, 22466, 31.5, 1732
C, sorters, -1, 353.270874023437500000, 149.187072753906250000, 0.000000000000000000, 57.959960937500000000, 23630, 31.8, 1720
C, sorters, -1, 334.770202636718750000, 140.957946777343750000, 0.000793457031250000, 54.694274902343750000, 22394, 32.2, 1808
C, sorters, -1, 333.591491699218750000, 140.187133789062500000, 0.000000000000000000, 54.470581054687500000, 22313, 32.5, 1720
C, sorters, -1, 334.429992675781250000, 140.570312500000000000, 0.000793457031250000, 54.608947753906250000, 22369, 33.5, 1708
C, sorters, -1, 335.721862792968750000, 141.245788574218750000, 0.000000000000000000, 54.821594238281250000, 22458, 32.8, 1688
C, sorters, -1, 334.747375488281250000, 140.248840332031250000, 0.000793457031250000, 54.637573242187500000, 22392, 32.5, 1748
