Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 0.209716796875000000, 0.104125976562500000, 0.000000000000000000, 0.029907226562500000, 11, 26.0, 1868
C, sorters, -1, 0.193664550781250000, 0.081726074218750000, 0.000000000000000000, 0.034545898437500000, 13, 26.0, 1868
C, sorters, -1, 0.207397460937500000, 0.091430664062500000, 0.000000000000000000, 0.034912109375000000, 13, 26.0, 1916
C, sorters, -1, 0.203552246093750000, 0.086791992187500000, 0.000000000000000000, 0.034545898437500000, 13, 26.0, 1852
C, sorters, -1, 0.204589843750000000, 0.089477539062500000, 0.000000000000000000, 0.031860351562500000, 13, 26.0, 2004
C, sorters, -1, 0.209167480468750000, 0.092102050781250000, 0.000000000000000000, 0.034545898437500000, 13, 26.0, 1868
C, sorters, -1, 0.190429687500000000, 0.091125488281250000, 0.000000000000000000, 0.034545898437500000, 13, 26.0, 1872
C, sorters, -1, 0.186584472656250000, 0.078613281250000000, 0.000000000000000000, 0.034545898437500000, 13, 26.0, 1944
C, sorters, -1, 0.190551757812500000, 0.081359863281250000, 0.000000000000000000, 0.034545898437500000, 13, 26.0, 1852
C, sorters, -1, 0.189758300781250000, 0.081176757812500000, 0.000000000000000000, 0.031982421875000000, 13, 26.0, 2004
