Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, sorters, -1, 0.222717285156250000, 0.109313964843750000, 0.000000000000000000, 0.032165527343750000, 12, 26.0, 1768
C, sorters, -1, 0.222656250000000000, 0.098815917968750000, 0.000000000000000000, 0.037048339843750000, 14, 26.0, 1792
C, sorters, -1, 0.222167968750000000, 0.097900390625000000, 0.000000000000000000, 0.036865234375000000, 14, 26.0, 1792
C, sorters, -1, 0.223999023437500000, 0.098571777343750000, 0.000000000000000000, 0.036987304687500000, 14, 26.0, 1840
C, sorters, -1, 0.206420898437500000, 0.088012695312500000, 0.000000000000000000, 0.034484863281250000, 14, 26.0, 1768
C, sorters, -1, 0.206970214843750000, 0.090759277343750000, 0.000000000000000000, 0.034484863281250000, 14, 26.0, 1744
C, sorters, -1, 0.220703125000000000, 0.096557617187500000, 0.000000000000000000, 0.036987304687500000, 14, 26.0, 1752
C, sorters, -1, 0.219360351562500000, 0.094726562500000000, 0.000000000000000000, 0.036987304687500000, 14, 26.0, 1752
C, sorters, -1, 0.221435546875000000, 0.096618652343750000, 0.000000000000000000, 0.036926269531250000, 14, 26.0, 1816
C, sorters, -1, 0.223327636718750000, 0.097900390625000000, 0.000000000000000000, 0.037048339843750000, 14, 26.0, 1804
